tire_size,brought_in,sold,inventory
"Tire Sizes","Brought In",Sold,Inventory
"","","",""
"New Tires","","",""
245-70-R17,4,"",""
235-65-R17,6,"",""
225-65-R17,6,4,2
215-55-R17,6,2,4
215-60-R16,6,"",""
215-55-R16,6,"",""
225-60-R18,6,"",""
275-55-R20,4,"",""
245-60-R18,4,"",""
215-65-R15,2,2,0
"","","",""
"Tire Sets","","",""
205-60-16,"1 Set","",""
275-65-18,"1 Set","",""
225-65-17,"1 Set","",""
255-70-R18,"1 Set","",""
265-60-R18,"1 Set","",""
265-70-r18,"1 Set","",""
285-45-22,"1 Set","",""
245-75-16,"1 Set","",""
265-30-20,"1 Set","",""
215-65-16,"1 Set","",""
205-55-16,"1 Set","",""
240-40-18,Set,"",""
"","","",""
"Size 14","","",""
215-75-14,7,"",""
195-75-14,2,1,1
205-75-14,3,"",""
205-55-14,4,"",""
195-60-14,1,1,0
185-80-14,1,"",""
185-70-14,4,"",""
195-70-14,"",2,""
215-70-14,1,"",""
185-65-14,1,1,0
"","","",""
"Size 15","","",""
175-55-15,7,"",""
175-65-15,9,"",""
125-75-15,2,"",""
265-80-15,1,"",""
195-65-15,16,8,8
205-70-15,4,"",""
235-70-15,1,"",""
185-65-15,5,"",""
215-70-15,3,"",""
235-75-15,10,"",""
185-60-15,5,"",""
195-60-15,3,3,0
285-60-15,2,"",""
195-55-15,1,"",""
205-65-15,5,"",""
205-75-15,5,"",""
"30x9-50 R15",4,"",""
215-60-15,1,"",""
205-60-15,3,1,2
225-75-15,10,"",""
185-55-15,3,"",""
225-70-15,1,"",""
205-55-15,3,"",""
235-60-15,1,"",""
"","","",""
"Size 16","","",""
215-60-16,48,"",""
235-65-16,49,"",""
205-70-16,13,1,12
215-70-16,14,"",""
205-60-16,40,2,38
215-65-16,20,"",""
205-55-16,66,3,63
225-60-16,27,2,25
195-60-16,3,"",""
195-50-16,4,"",""
185-55-16,5,5,0
195-45-16,3,"",""
195-55-16,5,1,4
185-60-16,2,"",""
225-75-16,31,4,27
205-65-16,46,"",""
215-55-16,42,4,38
235-70-16,9,3,6
245-75-16,13,13,0
235-80-16,10,"",""
265-75-16,1,"",""
225-70-16,4,"",""
265-65-16,1,"",""
235-60-16,2,1,1
265-70-16,6,2,4
225-65-16,4,"",""
235-70-16,10,"",""
175-55-16,1,"",""
225-50-26,1,"",""
195-75-16,5,"",""
215-85-16,1,"",""
235-85-16,4,"",""
175-60-16,2,"",""
255-60-16,2,"",""
205-50-16,44,"",""
"","","",""
"Size 17","","",""
225-50-17,90,5,85
225-60-17,33,1,32
235-60-17,27,"",""
225-55-17,13,"",""
235-55-17,15,5,10
215-55-17,103,3,100
205-50-17,3,"",""
205-45-17,9,"",""
205-40-17,3,"",""
205-55-17,7,1,6
225-45-17,31,3,28
235-50-17,7,"",""
235-45-17,8,"",""
245-45-17,6,"",""
235-65-17,43,1,42
215-45-17,24,"",""
225-65-17,41,3,38
245-70-17,7,1,6
265-70-17,22,1,21
255-70-17,3,"",""
215-60-17,12,1,11
215-65-17,18,1,17
235-80-17,1,"",""
245-65-17,4,1,3
245-75-17,24,"",""
255-75-17,10,5,5
235-70-17,2,"",""
215-70-17,3,"",""
215-50-17,33,"",""
275-55-17,1,"",""
275-70-17,1,"",""
245-70-17,3,"",""
265-65-17,"","",""
245-50-17,2,"",""
225-65-17,30,1,29
245-40-17,1,"",""
255-65-17,1,"",""
255-60-17,"",1,""
"","","",""
"Size 18","","",""
225-40-18,18,1,17
235-45-18,56,4,52
245-50-18,2,"",""
225-55-18,28,"",""
245-45-18,27,1,26
235-55-18,10,"",""
225-45-18,47,5,42
225-50-18,7,"",""
215-55-18,13,"",""
235-50-18,11,"",""
245-40-18,9,1,8
235-40-18,22,"",""
255-60-18,7,"",""
235-60-18,29,"",""
245-60-18,16,"",""
265-65-18,12,"",""
255-70-18,11,"",""
275-70-18,3,"",""
235-65-18,13,3,10
255-65-18,3,2,1
225-60-18,21,"",""
265-60-18,21,"",""
265-70-18,5,4,1
275-65-18,9,"",""
195-70-18,1,"",""
255-35-18,6,"",""
205-40-18,1,"",""
285-60-18,1,"",""
245-55-18,5,1,4
215-45-18,4,"",""
255-55-18,5,"",""
245-35-18,1,"",""
215-40-18,3,"",""
265-35-18,"","",""
255-40-18,1,"",""
"","","",""
"Size 19","","",""
235-40-19,21,"",""
235-45-19,8,4,4
255-40-19,5,2,3
245-40-19,12,"",""
235-50-19,23,"",""
225-55-19,44,"",""
245-55-19,9,1,8
245-50-19,9,"",""
225-40-19,4,"",""
255-60-19,3,1,2
255-45-19,2,"",""
255-50-19,1,"",""
255-40-19,3,"",""
245-45-19,9,"",""
225-35-19,1,"",""
255-35-19,5,"",""
225-45-19,3,"",""
285-35-19,1,"",""
265-50-19,4,"",""
275-40-19,3,"",""
285-40-19,1,"",""
275-50-19,1,"",""
235-55-19,29,"",""
245-35-19,1,"",""
235-35-19,3,1,2
275-55-19,1,"",""
255-55-19,1,"",""
235-60-19,1,"",""
"","","",""
"Size 20","","",""
275-45-20,7,1,6
275-65-20,1,"",""
275-60-20,10,1,9
275-55-20,14,2,12
285-55-20,1,"",""
265-45-20,7,"",""
235-55-20,10,"",""
255-45-20,11,"",""
245-40-20,3,2,1
245-45-20,11,3,8
245-50-20,23,1,22
265-50-20,6,"",""
275-35-20,1,"",""
255-55-20,6,1,5
255-50-20,19,"",""
265-30-20,1,"",""
265-60-20,8,"",""
275-40-20,1,"",""
255-40-20,4,4,0
285-45-20,1,"",""
315-35-20,1,"",""
285-60-20,2,"",""
265-65-20,6,"",""
225-40-20,2,"",""
245-35-20,3,"",""
305-30-20,1,1,0
285-30-20,1,"",""
235-45-20,3,"",""
275-30-20,1,1,0
"","","",""
"Size 21","","",""
275-45-21,2,"",""
265-45-21,5,"",""
255-40-21,1,"",""
265-40-21,3,"",""
285-30-21,1,"",""
285-45-21,1,"",""
"","","",""
"Size 22","","",""
285-45-22,16,"",""
275-50-22,2,"",""
235-40-22,"","",""
"33x 12x 50-22",1,"",""
285-40-22,2,"",""
315-30-22,3,"",""
315-35-22,5,"",""
275-40-22,1,"",""
305-40-22,1,"",""
